g1,"rgb(166, 171, 211)"
irajasenador,"rgb(157, 177, 219)"
FabioHenriqueSE,"rgb(183, 161, 195)"
RafaelMottaRN,"rgb(168, 170, 208)"
fernandofilhope,"rgb(159, 176, 217)"
waldenorpereira,"rgb(228, 133, 151)"
EduardoGomesTO,"rgb(132, 179, 199)"
rodrigoagost,"rgb(179, 163, 198)"
lelocoimbra_,"rgb(163, 173, 214)"
ImprensaBNB,"rgb(189, 157, 189)"
MessinaOficial,"rgb(167, 171, 210)"
Gustavo_Paim,"rgb(142, 178, 209)"
sen_wellington,"rgb(152, 178, 218)"
belivaldochagas,"rgb(186, 159, 192)"
JHC_40,"rgb(156, 177, 220)"
confuciomoura,"rgb(150, 178, 216)"
CelioMouraTO,"rgb(232, 131, 147)"
funaioficial,"rgb(184, 161, 194)"
DepCaetano,"rgb(224, 136, 155)"
iracemaportela,"rgb(171, 168, 206)"
SimplicioAraujo,"rgb(184, 160, 194)"
FelixMendoncaJr,"rgb(189, 157, 189)"
verapstu,"rgb(209, 145, 170)"
ANEEL_govbr,"rgb(137, 179, 204)"
fabiojuniorup,"rgb(237, 128, 143)"
MajorDenice,"rgb(233, 130, 147)"
ANTAQ_oficial,"rgb(96, 180, 165)"
marina_helou,"rgb(195, 153, 183)"
renildo,"rgb(219, 139, 160)"
DomingosSavioMG,"rgb(152, 178, 218)"
joseildoramos,"rgb(229, 132, 150)"
LuisTibeOficial,"rgb(171, 168, 206)"
geovaniadesa,"rgb(133, 179, 200)"
franciscojr_go,"rgb(154, 178, 220)"
coelho_rodrigo,"rgb(146, 178, 213)"
capitaoXaugusto,"rgb(83, 181, 153)"
EliasVazGyn,"rgb(175, 165, 201)"
HCPA_,"rgb(170, 169, 207)"
odaircunhamg,"rgb(228, 133, 151)"
Dep_ZeCarlosPT,"rgb(227, 134, 152)"
rejane_dias,"rgb(193, 155, 185)"
waldezoficial,"rgb(172, 168, 205)"
profdorinha,"rgb(169, 169, 207)"
LTrutis,"rgb(75, 181, 146)"
Reinaldo45psdb,"rgb(144, 178, 211)"
IrisRezendeM,"rgb(158, 176, 218)"
Conab_Oficial,"rgb(144, 178, 211)"
DelegadoFurtado,"rgb(78, 181, 148)"
DonizetiPT,"rgb(190, 156, 188)"
ebserh,"rgb(120, 179, 188)"
FredCosta5133,"rgb(153, 178, 219)"
marciobiolchi,"rgb(163, 173, 214)"
depnicoletti,"rgb(83, 181, 153)"
WolneyQueirozM,"rgb(191, 156, 187)"
eduardodafonte,"rgb(172, 168, 205)"
HarzheimErno,"rgb(152, 178, 218)"
Hilton_Coelho,"rgb(223, 136, 156)"
zenaldocoutinho,"rgb(162, 174, 215)"
DF_PauloFreire,"rgb(141, 179, 208)"
dep_alinegurgel,"rgb(160, 175, 216)"
ViniMiguel23,"rgb(194, 154, 184)"
dep_geraldo,"rgb(161, 175, 216)"
MajorAraujo17,"rgb(152, 178, 219)"
netoevangelista,"rgb(186, 159, 191)"
depflaviamorais,"rgb(169, 169, 207)"
BocaAbertaOf,"rgb(79, 181, 149)"
depgurgel,"rgb(88, 180, 157)"
SandroAlex5555,"rgb(159, 175, 217)"
mauricioptbrs,"rgb(151, 178, 217)"
maguitovilela15,"rgb(167, 171, 210)"
Marcelobrumdep,"rgb(62, 181, 133)"
TiagoAndrino,"rgb(170, 169, 206)"
DepJefferson,"rgb(138, 179, 205)"
RenataAbreu1919,"rgb(143, 178, 209)"
BetoRosado,"rgb(162, 173, 214)"
DepLuizCarlos,"rgb(162, 174, 214)"
eduardobarbosa_,"rgb(160, 175, 217)"
GiovaniFeltes,"rgb(160, 175, 217)"
pauloabiackel,"rgb(157, 177, 219)"
dep_santini,"rgb(155, 178, 221)"
nereucrispim,"rgb(100, 180, 169)"
DepDaniloForte,"rgb(161, 174, 216)"
DelegadoFreitas,"rgb(88, 180, 157)"
CacaLeao,"rgb(180, 163, 197)"
depdarcidematos,"rgb(156, 177, 220)"
docasdorio,"rgb(101, 180, 170)"
AdrianoSarney,"rgb(161, 174, 215)"
curtaClecioLuis,"rgb(166, 171, 210)"
DepRosanaValle,"rgb(95, 180, 164)"
cajdacosta,"rgb(106, 180, 174)"
pedrowestphalen,"rgb(165, 172, 211)"
Josiel25_,"rgb(160, 175, 217)"
fabio_novo,"rgb(189, 157, 189)"
MarceloCastroPI,"rgb(153, 178, 219)"
fabioreis1515,"rgb(185, 159, 192)"
depfmitidieri,"rgb(183, 161, 194)"
dagobertopdt,"rgb(179, 164, 198)"
DepJulioCesarPI,"rgb(172, 168, 205)"
prof_juniorgeo,"rgb(162, 174, 214)"
Carlos_Gaguim,"rgb(155, 178, 221)"
cezarleiteofc,"rgb(60, 181, 131)"
dracristinaGO,"rgb(177, 165, 200)"
HeitorSchuch,"rgb(175, 165, 202)"
LizianeBayer,"rgb(157, 177, 219)"
FServio,"rgb(106, 180, 174)"
dep_acoutinho,"rgb(168, 170, 208)"
DeputadoFoletto,"rgb(175, 166, 202)"
silascamara_,"rgb(150, 178, 216)"
anisiomaiapt,"rgb(191, 156, 186)"
oifranklin,"rgb(203, 149, 175)"
pradoweliton,"rgb(183, 161, 194)"
DepAfonsoHamm,"rgb(160, 175, 217)"
danielzendoacre,"rgb(211, 144, 168)"
Furtado_PRF,"rgb(88, 180, 158)"
Prof_Elson50,"rgb(221, 137, 158)"
AcacioFavacho,"rgb(163, 173, 213)"
jeisael_,"rgb(195, 154, 183)"
josemaranhaopb,"rgb(149, 178, 216)"
depjosenelto,"rgb(141, 179, 207)"
maurocarlesse,"rgb(152, 178, 218)"
solidariedadeBR,"rgb(170, 169, 207)"
luisa_canziani,"rgb(126, 179, 193)"
afonso_motta,"rgb(182, 161, 195)"
charllesevg,"rgb(87, 180, 157)"
marcelobluma43,"rgb(152, 178, 218)"
zenaidern,"rgb(205, 147, 173)"
wadson_ribeiro,"rgb(223, 136, 156)"
sartoprefeito12,"rgb(200, 150, 178)"
GustinhoRibeiro,"rgb(181, 162, 196)"
Alan_Rick,"rgb(154, 178, 220)"
dulcemiranda_to,"rgb(158, 176, 218)"
dpmarciomarinho,"rgb(175, 166, 202)"
DepJuscelino,"rgb(160, 175, 216)"
SESAI_MS,"rgb(197, 152, 181)"
dryglesio,"rgb(181, 162, 196)"
deputadocajado,"rgb(157, 177, 219)"
DepValtenir,"rgb(173, 167, 204)"
HalpherLuiggi,"rgb(50, 182, 121)"
ProfMarcosPT,"rgb(172, 168, 205)"
vicentinhojr,"rgb(161, 174, 215)"
MarcoBertaiolli,"rgb(145, 178, 212)"
PedroKemp,"rgb(194, 154, 184)"
robertodelucena,"rgb(139, 179, 206)"
RicardoIzar,"rgb(157, 177, 219)"
_sergiosouza,"rgb(168, 170, 208)"
EvairdeMelo,"rgb(146, 178, 213)"
ChristianeYared,"rgb(149, 178, 215)"
MargaretCoelho,"rgb(178, 164, 199)"
deputadohiran,"rgb(144, 178, 211)"
LucasBarreto_AP,"rgb(125, 179, 193)"
cel_armando,"rgb(68, 181, 139)"
professorjoziel,"rgb(83, 181, 153)"
prtboficial,"rgb(150, 178, 217)"
TrzeciakDaniel,"rgb(153, 178, 219)"
CGTEletrosul,"rgb(168, 170, 208)"
cyro16,"rgb(224, 136, 155)"
lexandreleite,"rgb(128, 179, 195)"
DepNilsonPinto,"rgb(179, 163, 198)"
sorayasantos,"rgb(114, 179, 182)"
boscosaraiva,"rgb(143, 178, 210)"
ArthurLira_,"rgb(150, 178, 216)"
_ALEXANDER_BR,"rgb(69, 181, 139)"
meciasdejesus,"rgb(130, 179, 197)"
CovattiFilho,"rgb(153, 178, 219)"
gastaodvieira,"rgb(189, 157, 189)"
namychequer,"rgb(191, 156, 187)"
Altineu,"rgb(170, 169, 207)"
capalbertoneto,"rgb(88, 180, 158)"
CelioStudart,"rgb(165, 172, 211)"
MerlongSolano,"rgb(190, 156, 187)"
ediolopes,"rgb(159, 176, 217)"
LuisMirandaUSA,"rgb(90, 180, 159)"
carloschiodini,"rgb(151, 178, 217)"
ZeSilva_,"rgb(168, 170, 208)"
ricardonicolau,"rgb(150, 178, 216)"
joaoromaneto,"rgb(130, 179, 197)"
paulolemos500,"rgb(175, 166, 202)"
lafayetteandrad,"rgb(157, 177, 219)"
LourivalGomesrj,"rgb(89, 180, 159)"
joseleonidas,"rgb(195, 153, 182)"
CPRM_Oficial,"rgb(148, 178, 214)"
depcelsosabino,"rgb(165, 172, 211)"
maldaner_celso,"rgb(150, 178, 216)"
LeurLomantoJr,"rgb(179, 163, 198)"
celsinhocotrim,"rgb(199, 151, 179)"
DepVitorLippi,"rgb(154, 178, 220)"
LuizNishimori,"rgb(146, 178, 212)"
silvioantonioma,"rgb(116, 179, 184)"
charbelnovo,"rgb(99, 180, 168)"
LPCferraz,"rgb(121, 179, 189)"
depdavitoria,"rgb(170, 169, 206)"
MinistroRJN,"rgb(223, 136, 156)"
LinobergAlmeida,"rgb(177, 165, 200)"
RochaHildorocha,"rgb(154, 178, 220)"
AluisioMendesMA,"rgb(155, 178, 221)"
Carloshbfavaro,"rgb(156, 177, 220)"
jhonatan_djesus,"rgb(151, 178, 217)"
PauloAzi,"rgb(177, 165, 200)"
depstefano,"rgb(129, 179, 197)"
sidneyleite_,"rgb(144, 178, 211)"
newton1510,"rgb(156, 178, 220)"
geninhozuliani,"rgb(135, 179, 202)"
gilcutrim,"rgb(189, 157, 188)"
fernandogiacobo,"rgb(141, 178, 208)"
neneupinheiro,"rgb(162, 174, 214)"
danilocabral_,"rgb(204, 148, 174)"
eduardobismarck,"rgb(191, 156, 187)"
senadorlobao,"rgb(148, 178, 215)"
Jarbas156,"rgb(134, 179, 201)"
MauroMendes40,"rgb(148, 178, 214)"
Cassio_4011,"rgb(183, 161, 194)"
DepGenecias,"rgb(164, 172, 212)"
SouEduardo33,"rgb(169, 169, 207)"
codevasf,"rgb(92, 180, 161)"
Esacheu,"rgb(148, 178, 215)"
ZeMarioGO,"rgb(146, 178, 212)"
alexispedrao,"rgb(226, 135, 154)"
christinoaureo,"rgb(173, 167, 204)"
celmarcosrocha,"rgb(84, 181, 154)"
roman_evandro,"rgb(154, 178, 220)"
EdilazioJunior_,"rgb(77, 181, 147)"
tolentinomg,"rgb(159, 176, 217)"
luizaogoulart,"rgb(169, 169, 208)"
rosangelasgomes,"rgb(163, 173, 213)"
depaguinaldo11,"rgb(153, 178, 219)"
infraestrutura,"rgb(157, 177, 219)"
rdnarede,"rgb(110, 180, 179)"
josimarPL22,"rgb(147, 178, 214)"
_GutembergReis,"rgb(107, 180, 175)"
AmazoninoAM,"rgb(160, 175, 217)"
Robotox,"rgb(232, 131, 147)"
OssesioSilva,"rgb(178, 164, 199)"
afraniomiranda,"rgb(170, 169, 207)"
Funpresp,"rgb(162, 174, 214)"
antoniodenarium,"rgb(124, 179, 191)"
herculanopassos,"rgb(156, 177, 220)"
FrancoCartafina,"rgb(148, 178, 214)"
PauloOpuszka13,"rgb(241, 125, 139)"
aroldomartins,"rgb(145, 178, 212)"
depmfernandes,"rgb(156, 177, 220)"
priante,"rgb(156, 177, 220)"
DepFederalMoses,"rgb(161, 174, 216)"
AureoRibeiroRJ,"rgb(143, 178, 210)"
luizlaurofilho,"rgb(169, 170, 208)"
carlosgomesdep,"rgb(143, 178, 209)"
Schiavinato_,"rgb(151, 178, 217)"
DepAndreFufuca,"rgb(159, 175, 217)"
LucasVergilioGO,"rgb(148, 178, 214)"
bulhoesjr,"rgb(178, 164, 199)"
casadamoedabr,"rgb(100, 180, 169)"
Drdamiaof,"rgb(184, 160, 193)"
depmarrecafilho,"rgb(124, 179, 192)"
subgonzagamg,"rgb(157, 177, 220)"
WladGarotinho,"rgb(155, 178, 221)"
ZequinhaMarinho,"rgb(110, 180, 178)"
AleSerfiotis,"rgb(138, 179, 205)"
JulioCesarRib,"rgb(127, 179, 195)"
pastorgil_,"rgb(119, 179, 187)"
VIRGULINOLAMPI2,"rgb(61, 181, 132)"
DanielaWaguinho,"rgb(131, 179, 198)"
CleberVerde10,"rgb(163, 173, 214)"
netto_expedito,"rgb(151, 178, 217)"
jqcassol,"rgb(131, 179, 199)"
EduardoBraide,"rgb(170, 169, 207)"
mazinhoanjos,"rgb(154, 178, 220)"
deputado_marlon,"rgb(174, 166, 203)"
amaronetotv,"rgb(120, 179, 188)"
gilbertoabramo,"rgb(156, 177, 220)"
Jorge_Braz,"rgb(161, 174, 215)"
deppauloramosrj,"rgb(208, 145, 170)"
drluizantoniojr,"rgb(133, 179, 200)"
RafaelFreirePB,"rgb(201, 150, 177)"
fernandoborjabh,"rgb(96, 180, 166)"
DavidAlmeidaAM,"rgb(163, 173, 213)"
glaustindafokus,"rgb(138, 179, 205)"
oficialigortimo,"rgb(102, 180, 170)"
depPedroLucasF,"rgb(155, 178, 221)"
tiago_dimas,"rgb(139, 179, 206)"
deputadotoninho,"rgb(172, 167, 204)"
alyssonlimanoar,"rgb(154, 178, 220)"
zachariascalil,"rgb(161, 174, 215)"
epl_br,"rgb(108, 180, 176)"
nelsonbarbudo,"rgb(55, 182, 127)"
cleberPSTU,"rgb(224, 136, 155)"
CODERN,"rgb(155, 178, 221)"
emanuelzinhomt,"rgb(141, 178, 208)"
vidigalsergio,"rgb(174, 166, 203)"
alan_barbiero,"rgb(163, 173, 214)"
hemobras_MS,"rgb(180, 163, 197)"
betopereirams,"rgb(142, 178, 208)"
marquinhostrad_,"rgb(145, 178, 212)"
drluizovando,"rgb(66, 181, 137)"
depjpassarinho,"rgb(165, 172, 211)"
pedraoprefeito,"rgb(157, 177, 219)"
DepEneiasReis,"rgb(88, 180, 158)"
rosemodestoms,"rgb(137, 179, 204)"
filippellireal,"rgb(149, 178, 215)"
deputadoatila,"rgb(160, 175, 216)"
coronelfeitosa,"rgb(163, 173, 213)"
PastorEurico,"rgb(135, 179, 202)"
JoseNunesDep,"rgb(178, 164, 199)"
joaodanielPT,"rgb(229, 132, 150)"
lucineidepsol,"rgb(228, 133, 152)"
NeuzaOliveiraES,"rgb(172, 168, 205)"
BrazaoChiquinho,"rgb(111, 180, 179)"
falecomvinicius,"rgb(160, 175, 217)"
mariarosassp,"rgb(138, 179, 205)"
adrianodobaldy,"rgb(124, 179, 192)"
comunicaGHC,"rgb(163, 173, 213)"
leonardorolim,"rgb(122, 179, 190)"
jaziel_dr,"rgb(54, 182, 125)"
marxbeltrao,"rgb(164, 172, 212)"
MiltonVieiraOfc,"rgb(157, 177, 219)"
depluizantonio,"rgb(125, 179, 192)"
julio_flores,"rgb(218, 140, 161)"
voteminoru45,"rgb(167, 171, 210)"
arthurboavista,"rgb(149, 178, 215)"
Czmadureira,"rgb(123, 179, 191)"
DrJoaoNovo,"rgb(115, 179, 183)"
dep_eduardo,"rgb(183, 161, 194)"
LucioFMRocha,"rgb(111, 180, 179)"
JuninhodoPneu,"rgb(129, 179, 196)"
DMiguellombardi,"rgb(138, 179, 205)"
PriscoBezerra,"rgb(195, 154, 183)"
LedaSadala,"rgb(144, 178, 211)"
DeputadaAngela,"rgb(130, 179, 197)"
Heliooliveirarn,"rgb(75, 181, 145)"
BiaCavassa,"rgb(125, 179, 192)"
DrFredericoMG,"rgb(122, 179, 189)"
WendelProfessor,"rgb(139, 179, 206)"
ZBoni2,"rgb(71, 181, 141)"
DrLeonardomt,"rgb(125, 179, 193)"
BARRETO_LUISA,"rgb(123, 179, 190)"
tedcontioficial,"rgb(168, 170, 208)"
Dep_LeoMoraes,"rgb(141, 178, 208)"
AzevedoCoronel,"rgb(154, 178, 220)"
KleberMontezuma,"rgb(167, 171, 210)"
TadeuAlencarPE,"rgb(190, 157, 188)"
Ceagesp_Oficial,"rgb(156, 178, 220)"
PauloBengtson,"rgb(162, 174, 215)"
benesleocadiorn,"rgb(166, 171, 210)"
drpessoa,"rgb(185, 159, 192)"
FederalFelicio,"rgb(116, 179, 184)"
fabiorr50,"rgb(193, 155, 185)"
PedroABezerra,"rgb(162, 174, 214)"
Fausto_Pinato,"rgb(109, 180, 177)"
denisbezerra,"rgb(183, 161, 194)"
DelDaniGarcia,"rgb(169, 169, 207)"
Ramon_Cujui,"rgb(233, 130, 146)"
ronaldocarletto,"rgb(164, 173, 212)"
orlandosilvasc,"rgb(106, 180, 175)"
joaoalmeidapb,"rgb(166, 171, 211)"
NivaldoAlbuque,"rgb(169, 170, 208)"
valeriapsol50,"rgb(242, 124, 138)"
JuniorManoDep,"rgb(157, 177, 219)"
BoscoCosta_SE,"rgb(172, 168, 205)"
romeroreis30,"rgb(94, 180, 163)"
Nuclep,"rgb(150, 178, 217)"
vavamartinspa,"rgb(152, 178, 218)"
flavionpi,"rgb(181, 162, 196)"
SilveiraGuaracy,"rgb(57, 182, 128)"
titodepfederal,"rgb(184, 160, 193)"
fernandopintorn,"rgb(112, 180, 181)"
MofattoMagda,"rgb(85, 181, 155)"
majordiegomelo,"rgb(65, 181, 136)"
CelAlfredo,"rgb(119, 179, 187)"
mararocha4545,"rgb(129, 179, 196)"
OLIVALMARQUES,"rgb(177, 164, 200)"
CoronelNylton,"rgb(111, 180, 179)"
CiaDocasBa,"rgb(157, 177, 219)"
RobertoAlves_10,"rgb(161, 174, 215)"
herciliodiniz,"rgb(137, 179, 204)"
ValdevanNoventa,"rgb(183, 161, 194)"
OttoAlencarFilh,"rgb(194, 154, 183)"
pinheirinhomg,"rgb(159, 175, 217)"
davidbrsoares,"rgb(104, 180, 173)"
jesussergioac,"rgb(167, 171, 209)"
fmonteiroPE,"rgb(157, 177, 219)"
zevitor_mg,"rgb(157, 177, 219)"
silviacristinax,"rgb(185, 160, 193)"
senadorchico,"rgb(134, 179, 201)"
ProfessorAnizio,"rgb(236, 128, 143)"
jbazolli,"rgb(169, 169, 207)"
EuclydesPetter,"rgb(142, 178, 208)"
fabioabreuofc,"rgb(154, 178, 220)"
Manujacobpsol,"rgb(236, 128, 143)"
DelegadoEguchi,"rgb(76, 181, 147)"
VandaMonteiro_,"rgb(140, 179, 207)"
BarisonGil,"rgb(134, 179, 202)"
rudsonleite,"rgb(159, 176, 217)"
EdilmaFreire_,"rgb(186, 159, 192)"
TiaoBocalom,"rgb(171, 168, 206)"
depbilacpinto,"rgb(141, 179, 208)"
deputadoelmar,"rgb(122, 179, 190)"
MarcosA_Sampaio,"rgb(158, 176, 218)"
gloriaheloiza,"rgb(143, 178, 209)"
samuelalmeida_,"rgb(150, 178, 216)"
RicardoSilvaRP,"rgb(152, 178, 219)"
HertzDias,"rgb(228, 133, 151)"
MarceloAmil,"rgb(196, 153, 182)"
prof_gianfranco,"rgb(192, 155, 186)"
AmazulDefesa,"rgb(101, 180, 170)"
chaves_hildon,"rgb(170, 169, 206)"
depalexsantana,"rgb(185, 160, 193)"
JaymeCampos251,"rgb(111, 180, 179)"
28marcoaurelio,"rgb(89, 180, 158)"
raimundocostaba,"rgb(142, 178, 208)"
henriquecatan,"rgb(142, 178, 209)"
basa_oficial,"rgb(142, 178, 209)"
sergioharfouch,"rgb(80, 181, 150)"
paulohgrando,"rgb(99, 180, 168)"
rosalia_psturn,"rgb(238, 127, 142)"
OttaciRR,"rgb(154, 178, 220)"
lucianocastrolc,"rgb(183, 161, 194)"
Vilsondafetaemg,"rgb(210, 144, 169)"
greyceelias,"rgb(136, 179, 203)"
sen_luizpastore,"rgb(119, 179, 187)"
CEASA_MG,"rgb(186, 159, 191)"
gerlanebaccarin,"rgb(153, 178, 219)"
10ronaldomartin,"rgb(156, 177, 220)"
SenMariadoCarmo,"rgb(85, 181, 155)"
Montserrat_43,"rgb(196, 153, 182)"
FlaviaArrudaDF,"rgb(207, 146, 171)"
paulomarcio75,"rgb(183, 161, 194)"
Charles_Federal,"rgb(187, 158, 190)"
MyNews,"rgb(184, 160, 194)"
bt-128372940,url(#nm128372940)
bt-131574396,url(#nm131574396)
bt-74756085,url(#nm74756085)
bt-105155795,url(#nm105155795)
bt-42629261,url(#nm42629261)
bt-357030742,url(#nm357030742)
bt-25577585,url(#nm25577585)